图鉴ID	物件ID	SceneID	GroupID	ConfigID	景观名称$text_name_Name	描述$text_name_Desc	图片	城市ID	区域ID	序号	已废弃	解锁才显示
70100001	70800028	3	133003635	635001	守护神像的湖泽	曾有诗歌说：星辰坠入此间大地，造就了湖泽。但也有其他的诗歌说，就连星辰也会为这如同风神的明眸般清澈的景象倾倒，落入湖中。	UI_Codex_Scenery_MDxingluohu	1	1103	2		
70100002	70800028	3	133003636	636001	风之城	风会将蒲公英的种子、诗歌与故事带到远方，也会将温柔的旅人带到自己的国度。欢迎来到蒙德。	UI_Codex_Scenery_MDmengdecheng	1	1102	1		
70100003	70800028	1004	201004004	4001	西风骑士团·图书馆	北大陆藏书数目最多的图书馆。除「禁书区」的书籍外，所有馆藏皆可供公众自由阅览。	UI_Codex_Scenery_MDtushuguan	1	1102	7		
70100004	70800028	1008	201008004	4001	西风大教堂	由风神的虔诚信徒经营的宏伟圣堂。\n过去曾是贵族炫耀权威的大殿。	UI_Codex_Scenery_MDxifengdajiaotang	1	1102	6		
70100005	70800028	3	133003637	637001	风洗的原野	永不止歇的细风洗濯着这片原野。昔日的英雄留下的挺拔巨木在风中轻轻吟籁。	UI_Codex_Scenery_MDfengqidi	1	1201	3		
70100006	70800028	3	133001425	425001	未名的剑冢	数百年过去了，天地已经归复平和。如林的剑冢静静铭记着，过去钢铁交错编织的诗篇，战士吟唱的歌谣，妖物如雷撼动大地的步伐，如同鲜烈的血一般赤红的天空。	UI_Codex_Scenery_MDdadawupagu	1	1203	9		
70100007	70800028	3	133002404	404001	清泉静流之地	宁静祥和的城郊小镇。有着悠久的猎人传统、清澈甘甜的泉水，以及水源中寄寓着某种良善精灵的传说。	UI_Codex_Scenery_MDqingquanzhen	1	1301	4		
70100008	70800028	3	133002405	405001	曙光初照的庄园	弥漫着葡萄的芬芳与醇厚的酒香，蒙德酒业望族的庄园宅邸。以难以望其项背的佳酿征服了蒙德的酒客，某种意义上是贪恋杯中物之人不得不巡礼的圣地。	UI_Codex_Scenery_MDchenxijiuzhuang	1	1302	5		
70100009	70800028	3	133003638	638001	悠古的千风神殿	环形剧场的古遗迹。悠扬的千风曾经汇集此地，带来无数故事，也让无数故事乘风去往远方。	UI_Codex_Scenery_MDqianfengshendian	1	1107	8		
70100010	70800028	3	133004368	368001	风啸的古代废都	独踞高塔者已经不再。盘旋废都的风低啸着无人可知的最古之事：它过去的主人、风中无名的精灵、以及撼动尖塔的群唱…	UI_Codex_Scenery_MDfenglongfeixu	1	1401	10		
